eval_split,harm_count,harm_rate,mean_recall10_delta,mean_reward_delta,num_records,policy_name,recovery_count,recovery_rate,retriever,rewrite_rate
train,0,0.0,0.08714285714285715,0.07134516463728506,700,refined_label_rule_model_policy,61,0.08714285714285715,bm25,0.8571428571428571
train,29,0.041428571428571426,0.04857142857142857,0.005415834418453862,700,retriever_tuned_bandit_policy,63,0.09,bm25,0.98
train,11,0.015714285714285715,0.04285714285714286,0.03926131871620583,700,reward_ranker_policy,41,0.05857142857142857,bm25,0.5128571428571429
train,0,0.0,0.11428571428571428,0.1839392148082231,700,reward_selected,80,0.11428571428571428,bm25,0.2257142857142857
train,28,0.04,0.05142857142857143,0.01031894175941652,700,state_recovery_bandit_policy,64,0.09142857142857143,bm25,0.9685714285714285
train,29,0.041428571428571426,0.045714285714285714,0.0018975188444159015,700,thompson_sampling,61,0.08714285714285715,bm25,1.0
train,29,0.041428571428571426,0.045714285714285714,0.0018975188444159015,700,ucb_bandit,61,0.08714285714285715,bm25,1.0
train,28,0.04,-0.011428571428571429,-0.1330238564141609,700,always_expanded,20,0.02857142857142857,dense,1.0
train,63,0.09,-0.045714285714285714,-0.1364294535699848,700,always_keyword,31,0.04428571428571428,dense,1.0
train,36,0.05142857142857143,-0.012857142857142857,-0.1035917783945996,700,always_llm,27,0.03857142857142857,dense,1.0
train,91,0.13,-0.09428571428571429,-0.2668218021754728,700,always_structured,25,0.03571428571428571,dense,1.0
train,1,0.0014285714285714286,0.017142857142857144,0.005045778515920942,700,calibrated_recovery_policy,13,0.018571428571428572,dense,0.21142857142857144
train,4,0.005714285714285714,0.04285714285714286,0.01493828483177165,700,conservative_linucb_policy,34,0.04857142857142857,dense,0.4928571428571429
train,23,0.032857142857142856,0.02,-0.034022094300937444,700,contextual_bandit,37,0.05285714285714286,dense,0.9414285714285714
train,4,0.005714285714285714,-0.005714285714285714,-0.016349920187336827,700,epsilon_greedy_bandit,0,0.0,dense,0.06571428571428571
train,71,0.10142857142857142,-0.054285714285714284,-0.16698855661029668,700,failure_type_policy,33,0.047142857142857146,dense,0.9414285714285714
train,1,0.0014285714285714286,0.002857142857142857,0.00025980391273017553,700,label_retriever_policy,3,0.004285714285714286,dense,0.04428571428571428
train,0,0.0,0.09857142857142857,0.15237719353838286,700,oracle_best_strategy,69,0.09857142857142857,dense,0.25857142857142856
train,0,0.0,0.0,0.0,700,original_only,0,0.0,dense,0.0
train,48,0.06857142857142857,-0.03428571428571429,-0.13013137277745226,700,random_policy,24,0.03428571428571429,dense,0.7857142857142857
train,9,0.012857142857142857,0.014285714285714285,-0.019707692257841886,700,recovery_ranker_policy,19,0.027142857142857142,dense,0.42428571428571427
train,0,0.0,0.06285714285714286,0.006093204839214573,700,refined_label_rule_model_policy,44,0.06285714285714286,dense,0.7828571428571428
train,1,0.0014285714285714286,0.002857142857142857,0.00025980391273017553,700,retriever_tuned_bandit_policy,3,0.004285714285714286,dense,0.04428571428571428
train,1,0.0014285714285714286,0.01,0.006586819119837339,700,reward_ranker_policy,8,0.011428571428571429,dense,0.14285714285714285
train,0,0.0,0.09857142857142857,0.15237719353838286,700,reward_selected,69,0.09857142857142857,dense,0.25857142857142856
train,10,0.014285714285714285,0.025714285714285714,-0.0031167245057291027,700,state_recovery_bandit_policy,28,0.04,dense,0.5642857142857143
train,59,0.08428571428571428,-0.037142857142857144,-0.12431565397480313,700,thompson_sampling,33,0.047142857142857146,dense,1.0
train,0,0.0,0.0,0.0,700,ucb_bandit,0,0.0,dense,0.0
train,21,0.03,0.055714285714285716,-0.049427623806423404,700,always_expanded,60,0.08571428571428572,hybrid,1.0
train,32,0.045714285714285714,0.04857142857142857,0.0075587501363939815,700,always_keyword,66,0.09428571428571429,hybrid,1.0
train,23,0.032857142857142856,0.05857142857142857,0.012346256470275003,700,always_llm,64,0.09142857142857143,hybrid,1.0
train,48,0.06857142857142857,0.02,-0.10298248984057252,700,always_structured,62,0.08857142857142856,hybrid,1.0
train,14,0.02,0.09285714285714286,0.056359429844030536,700,calibrated_recovery_policy,79,0.11285714285714285,hybrid,0.8957142857142857
train,11,0.015714285714285715,0.12285714285714286,0.09925493033359344,700,conservative_linucb_policy,97,0.13857142857142857,hybrid,0.87
train,16,0.022857142857142857,0.09,0.07506603119212285,700,contextual_bandit,79,0.11285714285714285,hybrid,0.9514285714285714
